,idx,step,date,position_index,position,real_position,data_low,data_volume,data_open,data_high,data_Volume USD,data_unix,data_symbol,data_close,portfolio_valuation,portfolio_distribution_asset,portfolio_distribution_fiat,portfolio_distribution_borrowed_asset,portfolio_distribution_borrowed_fiat,portfolio_distribution_interest_asset,portfolio_distribution_interest_fiat,reward
20,24,20,2018-05-23T05:00:00.000000000,tensor([2]),1,0.9999970525055214,7885.2,2706640.68,7900.0,7935.0,341.79,1527051600,BTC/USD,7921.99,9999.477936990703,1.262239470585635,0.029473406008037273,0,0,0.0,0.0,0.0025841011810049954
21,25,21,2018-05-23T06:00:00.000000000,tensor([1]),0,0.0,7896.41,5177887.78,7921.99,7960.99,654.23,1527055200,BTC/USD,7943.07,9998.477992144344,0,9998.477992144344,0,0,0.0,0.0,-0.0001000047055544224
22,26,22,2018-05-23T07:00:00.000000000,tensor([1]),0,0.0,7811.62,6050212.49,7943.07,7951.38,769.1,1527058800,BTC/USD,7856.37,9998.477992144344,0,9998.477992144344,0,0,0.0,0.0,0.0
23,27,23,2018-05-23T08:00:00.000000000,tensor([2]),1,1.0,7808.05,5641175.8,7856.37,7888.92,719.94,1527062400,BTC/USD,7848.3,9987.20881530069,1.2725314801040595,0,0,0,0.0,0.0,-0.0011277248709578127
24,28,24,2018-05-23T09:00:00.000000000,tensor([1]),0,0.0,7808.0,4101667.16,7848.3,7870.0,523.05,1527066000,BTC/USD,7852.68,9986.21009441916,0,9986.21009441916,0,0,0.0,0.0,-0.00010000500033323629
25,29,25,2018-05-23T10:00:00.000000000,tensor([2]),1,1.0,7836.79,3225267.49,7852.68,7909.75,409.37,1527069600,BTC/USD,7847.1,9978.11612761419,1.2715673468688038,0,0,0,0.0,0.0,-0.0008108430165299028
26,30,26,2018-05-23T11:00:00.000000000,tensor([2]),1,1.0,7801.02,2001326.08,7847.1,7882.27,255.12,1527073200,BTC/USD,7849.31,9980.92629145077,1.2715673468688038,0,0,0,0.0,0.0,0.00028159305403009134
27,31,27,2018-05-23T12:00:00.000000000,tensor([1]),0,0.0,7847.36,4363105.92,7849.31,7949.27,551.86,1527076800,BTC/USD,7911.83,9979.928198821626,0,9979.928198821626,0,0,0.0,0.0,-0.00010000500033334732
28,32,28,2018-05-23T13:00:00.000000000,tensor([1]),0,0.0,7883.0,2694515.99,7911.83,7944.73,340.62,1527080400,BTC/USD,7901.01,9979.928198821626,0,9979.928198821626,0,0,0.0,0.0,0.0
29,33,29,2018-05-23T14:00:00.000000000,tensor([2]),1,1.0,7850.72,3849142.84,7901.01,7916.48,488.69,1527084000,BTC/USD,7887.0,9961.235656547171,1.2629942508618195,0,0,0,0.0,0.0,-0.0018747699868490685
30,34,30,2018-05-23T15:00:00.000000000,tensor([0]),-1,-0.9561116526801771,7676.27,8694282.48,7887.0,7906.0,1120.73,1527087600,BTC/USD,7710.02,10182.694423372963,0,19918.48721724131,1.2627416772690065,0,3.7882250318070194e-06,0.0,0.02198852842844704
31,35,31,2018-05-23T16:00:00.000000000,tensor([1]),0,0.0,7553.6,14845922.51,7710.02,7719.37,1946.82,1527091200,BTC/USD,7625.38,10181.72074672591,0,10181.72074672591,0,0,0.0,0.0,-9.562529929401708e-05
32,36,32,2018-05-23T17:00:00.000000000,tensor([1]),0,0.0,7435.49,13613355.32,7625.38,7637.06,1809.02,1527094800,BTC/USD,7516.28,10181.72074672591,0,10181.72074672591,0,0,0.0,0.0,0.0
33,37,33,2018-05-23T18:00:00.000000000,tensor([1]),0,0.0,7450.1,12526264.15,7516.28,7563.5,1667.13,1527098400,BTC/USD,7495.31,10181.72074672591,0,10181.72074672591,0,0,0.0,0.0,0.0
34,38,34,2018-05-23T19:00:00.000000000,tensor([2]),1,1.0,7495.31,7411840.58,7495.31,7635.13,979.6,1527102000,BTC/USD,7590.34,10309.779579560856,1.3582763854532018,0,0,0,0.0,0.0,0.012498889581336544
35,39,35,2018-05-23T20:00:00.000000000,tensor([1]),0,0.0,7516.97,6614312.32,7590.34,7649.0,870.92,1527105600,BTC/USD,7596.24,10308.7486016029,0,10308.7486016029,0,0,0.0,0.0,-0.00010000500033345836
36,40,36,2018-05-23T21:00:00.000000000,tensor([0]),-1,-1.0116556136958799,7561.72,1739969.46,7596.24,7641.49,229.17,1527109200,BTC/USD,7640.23,10247.994497310838,0,20615.435659639836,1.3569499949738184,0,4.070849984921455e-06,0.0,-0.0059108858721534045
37,41,37,2018-05-23T22:00:00.000000000,tensor([2]),1,0.9999969330781753,7543.4,2820102.91,7640.23,7653.56,371.65,1527112800,BTC/USD,7562.1,10141.187796862925,1.3410503292250489,0.031102230183023494,0,0,0.0,0.0,-0.010476896609008402
38,42,38,2018-05-23T23:00:00.000000000,tensor([2]),1,0.9999969088752508,7468.31,6180156.99,7562.1,7582.97,822.0,1527116400,BTC/USD,7502.89,10061.78420686951,1.3410503292250489,0.031102230183023494,0,0,0.0,0.0,-0.007860625539341212
